688.72,686.21,667.27,669.26
686.21,667.27,669.26,673.25
667.27,669.26,673.25,688.68
669.26,673.25,688.68,680.86
673.25,688.68,680.86,671.33
688.68,680.86,671.33,669.55
680.86,671.33,669.55,676.2
671.33,669.55,676.2,680.57
669.55,676.2,680.57,698.7
676.2,680.57,698.7,708.59
680.57,698.7,708.59,721.81
698.7,708.59,721.81,712.88
708.59,721.81,712.88,713.15
721.81,712.88,713.14,705.16
712.88,713.14,705.16,706.71
713.14,705.16,706.71,716.55
705.16,706.71,716.55,721.35
706.71,716.55,721.35,736.28
688.72,686.21,667.27,669.26
686.21,667.27,669.26,673.25
667.27,669.26,673.25,688.68
669.26,673.25,688.68,680.86
673.25,688.68,680.86,671.33
688.68,680.86,671.33,669.55
680.86,671.33,669.55,676.2
671.33,669.55,676.2,680.57
